262,5,E-Plus Mobilfunk GmbH & Co. KG
262,6,T-Mobile Deutschland GmbH
262,7,O2 (Germany) GmbH & Co. OHG
262,8,O2 (Germany) GmbH & Co. OHG
262,9,Vodafone D2 GmbH
262,10,Arcor AG & Co. (GSM-R)
262,11,O2 (Germany) GmbH & Co. OHG
262,12,Dolphin Telecom (Deutschland) GmbH
262,13,Mobilcom Multimedia GmbH
262,14,Group 3G UMTS GmbH (Quam)
262,15,Airdata AG
262,16,MVNE (E-plus)
262,17,Ring Mobilfunk
262,20,E-Plus
262,43,Lyca Mobile
262,60,DB Telematik (GSM-R)
262,76,Siemens AG,
262,77,E-Plus Mobilfunk GmbH & Co. KG
262,901,Debitel AG
620,1,MTN Group
620,2,Vodafone Group
620,3,Millicom Ghana
620,4,Kasapa Telecom Ltd.
620,6,Airtel
620,997,Glo Mobile Ghana
266,1,Gibtelecom GSM
266,6,CTS Gibraltar
266,9,Cloud9 Mobile Communications
202,1,Cosmote Mobile Teelecommunications S.A.
202,5,Vodafone - Panafon
202,9,Wind Hellas Telecommunications S.A.
202,10,Wind Hellas Telecommunications S.A.
290,1,Tele Greenland
352,30,Digicel
352,110,Cable & Wireless Grenada Ltd.
535,47,Docomo Pacific Inc
704,1,Servicios de Comunicaciones Personales Inalámbricas, S.A.
704,2,Comunicaciones Celulares S.A.
704,3,Telefónica Centroamérica Guatemala S.A.
611,1,Orange
611,2,Sotelgui Lagui
611,3,INTERCEL Guinée
611,4,Areeba Guinea
611,5,Cellcom Guinée SA
632,1,Guinétel S.A.
632,2,Spacetel Guiné-Bissau S.A.
632,3,Orange
632,7,Guinetel (Telecel Guinee SARL)
738,1,U-Mobile (Cellular) Inc.
738,2,Guyana Telephone & Telegraph Co.
372,1,Communication Cellulaire dHaiti SA
372,2,Unigestion Holding S.A
372,3,Telecommunication S.A
372,50,Unigestion Holding S.A
708,1,Servicios de Comunicaciones de Honduras S.A. de C.V.
708,2,Celtel / Tigo
708,30,Empresa Hondurena de Telecomunicaciones
708,40,Digicel de Honduras
454,0,CSL Ltd
454,1,CITIC Telecom 1616
454,2,CSL Ltd
454,3,Hutchison Telecom
454,4,Hutchison Telecom
454,5,Hutchison Telecom
454,6,SmarTone Mobile Communications Ltd
454,7,China Unicom (Hong Kong) Ltd
454,8,Trident Telecom
454,9,China Motion Telecom
454,10,CSL Ltd
454,11,China-Hong Kong Telecom
454,12,China Mobile Hong Kong Company Ltd
454,14,Hutchison Telecom
454,15,3G Radio System/SMT3G
454,16,PCCW Ltd
454,17,SmarTone Mobile Communications Limited
454,18,CSL Ltd
454,19,PCCW Ltd
454,22,SmarTone Mobile (P-Plus)
454,29,PCCW Ltd
454,40,shared by private TETRA systems
454,47,Hong Kong Police Force - TETRA systems
216,1,Telenor Magyarország Zrt.
216,30,Magyar Telekom Plc
216,70,Vodafone Magyarország Zrt.
274,1,Iceland Telecom Ltd.
274,2,Vodafone
274,3,Islandssimi GSM ehf
274,4,IMC Islande ehf
274,6,09 Mobile
274,7,IceCell ehf
274,11,Nova ehf
404,0,Sistema Shyam (Rajasthan)
405,1,Reliance Telecom (Andhra Pradesh)
404,1,Vodafone (Haryana)
404,2,Bharti Airtel Ltd (Punjab)
404,3,Bharti Airtel Ltd (Himachal Pradesh)
405,3,Reliance Telecom (Bihar)
405,4,Reliance Telecom (Chennai)
404,4,Idea (Delhi)
405,5,Reliance Telecom (Delhi)
404,5,Vodafone (Gujarat)
405,6,Reliance Telecom (Gujarat)
405,7,Reliance Telecom (Haryana)
404,7,Idea (Andhra Pradesh)
405,8,Reliance Telecom (Himachal Pradesh)
405,9,Reliance Telecom (Jammu & Kashmir)
404,9,Reliance Telecom (Assam)
405,10,Reliance Telecom (Karnataka)
404,10,Bharti Airtel Ltd (Delhi)
405,11,Reliance Telecom (Kerala)
404,11,Vodafone (Delhi)
405,12,Reliance Telecom (Kolkata)
404,12,Idea (Haryana)
405,13,Reliance Telecom (Maharashtra)
404,13,Vodafone (Andhra Pradesh)
405,14,Reliance Telecom (Madhya Pradesh)
404,14,Idea (Punjab)
405,15,Reliance Telecom (Mumbai)
404,15,Vodafone (Uttar Pradesh (East)
404,16,Bharti Airtel Ltd (North East)
404,17,Aircel (West Bengal)
405,17,Reliance Telecom (Orissa)
405,18,Reliance Telecom (Punjab)
